interest_area,coding_interest_level,preferred_domain,current_degree,field_of_study,current_status,known_languages,frameworks_known,job_type_preference,job_experience,recommended_job_role,
Creativity,Beginner,AI/ML,Bachelors,CS,Job Seeker,"C++, Java, JavaScript, R",Node,Freelance,3+,frontend developer,
Both,Advanced,Backend,Bachelors,CS,Job Seeker,SQL,"PyTorch, React",Internship,1+,ml engineer,
Logic,Beginner,Frontend,Bachelors,Non-CS,Pursuing Degree,C++,Node,Freelance,3+,backend developer,
Both,Advanced,DevOps,Diploma,Non-CS,Job Seeker,"None, Python, SQL","Django, None, Scikit-learn",Remote,None,ml engineer,
Logic,Beginner,Full Stack,Diploma,Non-CS,Intern,"C, C++",Scikit-learn,Freelance,None,ml engineer,
Both,Intermediate,Backend,Bachelors,CS,Trainee,Java,"PyTorch, Scikit-learn, TensorFlow",Onsite,1+,ml engineer,
Logic,Intermediate,Cybersecurity,Diploma,Non-CS,Working Professional,"Java, None, R","React, TensorFlow",Freelance,None,ml engineer,
Logic,Advanced,Cybersecurity,Bachelors,Non-CS,Pursuing Degree,Java,"Flask, PyTorch, Scikit-learn",Internship,None,ml engineer,
Logic,Intermediate,Full Stack,Diploma,Non-CS,Working Professional,"Python, SQL","Flask, React",Onsite,3+,data analyst,
Creativity,None,DevOps,Diploma,Non-CS,Intern,"C++, Java, Python","Node, React",Onsite,1+,data analyst,
Creativity,Beginner,Frontend,Bachelors,Non-CS,Working Professional,"Java, SQL","Flask, None",Remote,3+,backend developer,
Creativity,None,Data Science,Diploma,Non-CS,Pursuing Degree,"C++, Java, R",Node,Remote,None,backend developer,
Creativity,None,Frontend,Masters,CS,Working Professional,SQL,"Django, PyTorch, TensorFlow",Remote,None,ml engineer,
Creativity,Intermediate,AI/ML,Masters,CS,Working Professional,Java,"Django, Scikit-learn",Freelance,None,ml engineer,
Creativity,Beginner,Data Science,Diploma,Non-CS,Pursuing Degree,"JavaScript, R, SQL","None, TensorFlow",Freelance,1+,ml engineer,
Creativity,None,Full Stack,Bachelors,CS,Trainee,"None, Python",Node,Remote,3+,backend developer,
Logic,None,Cybersecurity,Bachelors,Non-CS,Pursuing Degree,"C++, R",React,Remote,1+,frontend developer,
Logic,Beginner,Backend,Diploma,CS,Working Professional,JavaScript,Flask,Onsite,1+,frontend developer,
Logic,Intermediate,AI/ML,Diploma,CS,Working Professional,"C++, Java, SQL",Django,Freelance,None,backend developer,
Logic,Intermediate,DevOps,Bachelors,CS,Trainee,"Java, JavaScript, Python, R","Django, PyTorch",Remote,1+,ml engineer,
Logic,Beginner,Full Stack,Bachelors,CS,Pursuing Degree,Python,"Flask, None, React",Freelance,3+,data analyst,
Creativity,None,Full Stack,Masters,CS,Intern,"Python, R","Django, None, Scikit-learn",Onsite,1+,ml engineer,
Both,Intermediate,Cybersecurity,Diploma,CS,Working Professional,R,Scikit-learn,Freelance,3+,ml engineer,
Logic,Intermediate,Data Science,Masters,CS,Job Seeker,"C++, None",Flask,Onsite,3+,backend developer,
Creativity,None,Frontend,Diploma,CS,Pursuing Degree,"None, R","Django, PyTorch, Scikit-learn",Internship,None,ml engineer,
Logic,Beginner,Full Stack,Diploma,Non-CS,Pursuing Degree,"Java, JavaScript, R","Django, Scikit-learn",Onsite,3+,ml engineer,
Both,Beginner,Cybersecurity,Masters,Non-CS,Working Professional,"Java, JavaScript, R","Node, PyTorch, TensorFlow",Onsite,None,ml engineer,
Creativity,Advanced,AI/ML,Diploma,Non-CS,Trainee,"C++, Python, SQL",Django,Freelance,1+,data analyst,
Both,None,Frontend,Masters,CS,Intern,"JavaScript, None, Python, R",Django,Internship,3+,data analyst,
Both,Advanced,AI/ML,Bachelors,CS,Pursuing Degree,R,"Django, Node, Scikit-learn",Freelance,1+,ml engineer,
Logic,Beginner,DevOps,Bachelors,CS,Trainee,"C, Java, JavaScript","Django, None, Scikit-learn",Freelance,3+,ml engineer,
Logic,Beginner,Data Science,Masters,CS,Trainee,"C, C++, Python","Django, Node, PyTorch",Full-time Job,3+,ml engineer,
Creativity,None,Backend,Diploma,CS,Trainee,"C++, Java, Python","Flask, React, Scikit-learn",Full-time Job,3+,ml engineer,
Both,Beginner,Cybersecurity,Diploma,Non-CS,Working Professional,"Java, JavaScript, SQL","Django, Flask, Scikit-learn",Internship,None,ml engineer,
Logic,None,Data Science,Masters,Non-CS,Working Professional,"C++, JavaScript","Flask, None, Scikit-learn",Full-time Job,1+,ml engineer,
Both,None,Backend,Masters,CS,Intern,"C++, JavaScript, SQL",Scikit-learn,Freelance,3+,ml engineer,
Both,Beginner,Frontend,Masters,CS,Pursuing Degree,"Java, Python, R, SQL","Flask, React",Remote,None,data analyst,
Logic,Intermediate,Full Stack,Diploma,Non-CS,Job Seeker,"JavaScript, SQL",Scikit-learn,Remote,None,ml engineer,
Creativity,None,DevOps,Bachelors,Non-CS,Job Seeker,Python,"Django, None, Scikit-learn",Remote,3+,ml engineer,
Logic,Beginner,Backend,Bachelors,CS,Job Seeker,Java,"Flask, PyTorch, React",Remote,None,ml engineer,
Creativity,Advanced,AI/ML,Bachelors,Non-CS,Trainee,"C++, Java, JavaScript, R",PyTorch,Onsite,1+,ml engineer,
Logic,Advanced,Full Stack,Bachelors,Non-CS,Working Professional,"C, Java, None, R","Node, None, PyTorch",Freelance,3+,ml engineer,
Both,Intermediate,Backend,Masters,Non-CS,Pursuing Degree,"C, SQL","Django, None",Remote,None,backend developer,
Creativity,Advanced,AI/ML,Diploma,CS,Trainee,C++,"Node, PyTorch",Full-time Job,None,ml engineer,
Logic,Advanced,Cybersecurity,Masters,CS,Working Professional,"C, JavaScript, Python, SQL","Flask, None, PyTorch",Onsite,1+,ml engineer,
Both,None,Frontend,Bachelors,Non-CS,Working Professional,"C++, Python, SQL",React,Remote,3+,data analyst,
Both,Advanced,Frontend,Masters,Non-CS,Working Professional,"C++, None",Scikit-learn,Internship,1+,ml engineer,
Creativity,None,AI/ML,Masters,Non-CS,Pursuing Degree,Java,Django,Full-time Job,3+,backend developer,
Creativity,Beginner,Cybersecurity,Bachelors,Non-CS,Pursuing Degree,JavaScript,Scikit-learn,Freelance,3+,ml engineer,
Logic,None,Full Stack,Diploma,CS,Working Professional,"C, C++, Java","Django, PyTorch, TensorFlow",Onsite,3+,ml engineer,
Creativity,Intermediate,AI/ML,Masters,Non-CS,Job Seeker,"JavaScript, None, Python, R",React,Onsite,None,data analyst,
Creativity,Advanced,Data Science,Masters,CS,Trainee,"C, C++, JavaScript, Python",None,Full-time Job,3+,data analyst,
Logic,Advanced,Data Science,Bachelors,Non-CS,Pursuing Degree,"C, Java, SQL",Flask,Remote,None,backend developer,
Logic,Advanced,DevOps,Masters,Non-CS,Trainee,Python,None,Full-time Job,1+,intern,
Both,Intermediate,Cybersecurity,Bachelors,Non-CS,Job Seeker,"Java, R","Django, TensorFlow",Onsite,None,ml engineer,
Both,Intermediate,Cybersecurity,Bachelors,Non-CS,Trainee,"Python, SQL","PyTorch, Scikit-learn, TensorFlow",Freelance,None,ml engineer,
Creativity,None,Cybersecurity,Bachelors,CS,Trainee,"C++, None, Python, SQL","React, Scikit-learn",Full-time Job,1+,ml engineer,
Logic,Intermediate,Cybersecurity,Diploma,CS,Working Professional,Python,Flask,Full-time Job,1+,backend developer,
Creativity,None,Full Stack,Masters,CS,Working Professional,"Python, SQL","Flask, Node, None",Freelance,3+,data analyst,
Logic,None,DevOps,Bachelors,CS,Working Professional,None,"Flask, Node, React",Onsite,None,frontend developer,
Logic,Beginner,Full Stack,Masters,CS,Intern,R,"Django, Node, None",Internship,3+,backend developer,
Logic,None,AI/ML,Bachelors,CS,Pursuing Degree,"C, Java, JavaScript","Node, React",Internship,3+,frontend developer,
Logic,Intermediate,AI/ML,Masters,Non-CS,Job Seeker,"C, C++, Java","Flask, React, Scikit-learn",Freelance,3+,ml engineer,
Logic,Beginner,Frontend,Diploma,CS,Job Seeker,"JavaScript, R, SQL","Django, None",Onsite,None,frontend developer,
Both,Advanced,AI/ML,Diploma,CS,Trainee,"None, Python","Node, None",Freelance,3+,backend developer,
Creativity,None,Data Science,Masters,CS,Trainee,None,Node,Full-time Job,3+,backend developer,
Logic,None,Full Stack,Masters,Non-CS,Job Seeker,"C, R","Django, Flask, PyTorch",Remote,3+,ml engineer,
Both,Intermediate,Full Stack,Bachelors,Non-CS,Working Professional,"Java, JavaScript, None, SQL","Node, PyTorch, Scikit-learn",Freelance,None,ml engineer,
Creativity,Advanced,Full Stack,Bachelors,CS,Intern,SQL,"Node, React, TensorFlow",Internship,3+,ml engineer,
Creativity,Beginner,Data Science,Bachelors,Non-CS,Trainee,"C++, Python","Node, PyTorch, TensorFlow",Full-time Job,None,ml engineer,
Creativity,Intermediate,Backend,Masters,Non-CS,Intern,SQL,Flask,Onsite,1+,backend developer,
Creativity,Beginner,AI/ML,Masters,Non-CS,Intern,"C, R, SQL","Django, Node, None",Internship,3+,backend developer,
Both,Beginner,Frontend,Masters,CS,Intern,"C, Java, None","Django, None",Freelance,1+,backend developer,
Creativity,Beginner,AI/ML,Bachelors,CS,Working Professional,"R, SQL","React, Scikit-learn",Freelance,None,ml engineer,
Creativity,Beginner,Data Science,Masters,CS,Working Professional,"Java, JavaScript, Python","Node, React",Full-time Job,1+,data analyst,
Both,None,Data Science,Diploma,Non-CS,Job Seeker,JavaScript,"Node, Scikit-learn, TensorFlow",Freelance,3+,ml engineer,
Creativity,Intermediate,DevOps,Masters,Non-CS,Intern,"C++, Java, R, SQL","Django, PyTorch",Remote,None,ml engineer,
Both,Intermediate,Full Stack,Diploma,CS,Intern,"C++, Java","PyTorch, React",Remote,1+,ml engineer,
Logic,None,DevOps,Diploma,Non-CS,Pursuing Degree,"C++, JavaScript, None, R","None, React",Onsite,3+,frontend developer,
Logic,Beginner,DevOps,Masters,Non-CS,Pursuing Degree,"C, Python","Flask, Node, None",Internship,None,backend developer,
Both,Intermediate,Full Stack,Bachelors,Non-CS,Trainee,C++,Scikit-learn,Remote,None,ml engineer,
Logic,Advanced,Backend,Masters,Non-CS,Intern,C,"Django, Node, PyTorch",Onsite,None,ml engineer,
Both,Intermediate,Data Science,Bachelors,Non-CS,Job Seeker,"Java, Python, SQL","Django, Node, TensorFlow",Remote,1+,ml engineer,
Both,Beginner,DevOps,Bachelors,Non-CS,Trainee,C++,Node,Internship,None,backend developer,
Both,Intermediate,Full Stack,Masters,CS,Job Seeker,SQL,"None, Scikit-learn",Remote,3+,ml engineer,
Both,Intermediate,AI/ML,Masters,CS,Intern,"Java, Python, SQL",Django,Remote,1+,data analyst,
Creativity,Advanced,Cybersecurity,Bachelors,CS,Pursuing Degree,Python,"Django, React",Full-time Job,None,data analyst,
Both,None,Full Stack,Diploma,CS,Intern,"C++, Java, JavaScript, None","PyTorch, Scikit-learn",Onsite,None,ml engineer,
Both,Beginner,Cybersecurity,Diploma,CS,Pursuing Degree,"C++, SQL","Flask, React, TensorFlow",Internship,3+,ml engineer,
Both,Intermediate,Backend,Bachelors,Non-CS,Working Professional,"Java, None","Django, None, PyTorch",Internship,None,ml engineer,
Logic,Intermediate,AI/ML,Diploma,Non-CS,Working Professional,"Python, R","None, TensorFlow",Freelance,3+,ml engineer,
Both,None,AI/ML,Diploma,Non-CS,Pursuing Degree,"C, None, Python","None, PyTorch, Scikit-learn",Freelance,1+,ml engineer,
Both,Intermediate,AI/ML,Masters,Non-CS,Trainee,"C, C++, R, SQL","Node, None",Onsite,1+,backend developer,
Creativity,Advanced,Full Stack,Bachelors,CS,Intern,Java,"Flask, React",Internship,1+,frontend developer,
Creativity,Beginner,Cybersecurity,Diploma,CS,Working Professional,"C, R","PyTorch, TensorFlow",Remote,None,ml engineer,
Both,Intermediate,Cybersecurity,Diploma,Non-CS,Intern,"C, SQL","Node, Scikit-learn",Full-time Job,3+,ml engineer,
Creativity,Intermediate,Frontend,Bachelors,Non-CS,Trainee,"C++, Java, JavaScript, SQL","PyTorch, React, TensorFlow",Freelance,1+,ml engineer,
Logic,Beginner,AI/ML,Diploma,CS,Job Seeker,"JavaScript, Python, R","Django, React, TensorFlow",Freelance,1+,ml engineer,
Both,Intermediate,AI/ML,Bachelors,Non-CS,Working Professional,C,"Flask, None",Remote,3+,backend developer,
Logic,Beginner,AI/ML,Bachelors,CS,Intern,Python,"None, TensorFlow",Internship,1+,ml engineer,
Creativity,Beginner,DevOps,Diploma,CS,Trainee,"C, None, Python, R",None,Onsite,None,data analyst,
Both,Intermediate,DevOps,Bachelors,Non-CS,Job Seeker,"C++, R, SQL","Flask, Node, TensorFlow",Onsite,1+,ml engineer,
Both,Intermediate,Data Science,Diploma,Non-CS,Trainee,"C, Python, R",None,Remote,3+,data analyst,
Both,Intermediate,AI/ML,Masters,Non-CS,Pursuing Degree,"C, JavaScript, None, R","Django, TensorFlow",Internship,1+,ml engineer,
Logic,Intermediate,Full Stack,Bachelors,Non-CS,Pursuing Degree,Java,"PyTorch, Scikit-learn",Internship,3+,ml engineer,
Both,Advanced,DevOps,Masters,CS,Pursuing Degree,"JavaScript, None","None, React, TensorFlow",Freelance,1+,ml engineer,
Both,Advanced,AI/ML,Masters,CS,Working Professional,"C, Java, SQL",Django,Internship,3+,backend developer,
Both,Beginner,Backend,Bachelors,Non-CS,Working Professional,"Python, R, SQL",Django,Onsite,1+,data analyst,
Logic,Intermediate,Cybersecurity,Bachelors,Non-CS,Trainee,Python,"Django, None, Scikit-learn",Full-time Job,3+,ml engineer,
Logic,Intermediate,Cybersecurity,Masters,Non-CS,Job Seeker,"None, Python","Node, PyTorch",Freelance,3+,ml engineer,
Creativity,Advanced,Cybersecurity,Bachelors,CS,Trainee,"C++, SQL","Django, None, Scikit-learn",Internship,None,ml engineer,
Logic,None,AI/ML,Bachelors,CS,Working Professional,"C, JavaScript, Python, SQL",React,Full-time Job,None,data analyst,
Creativity,Advanced,Backend,Diploma,Non-CS,Intern,Python,React,Onsite,3+,data analyst,
Creativity,Beginner,Full Stack,Diploma,CS,Job Seeker,"C, R, SQL","Django, Flask, TensorFlow",Remote,1+,ml engineer,
Creativity,Advanced,Data Science,Bachelors,Non-CS,Job Seeker,"C, JavaScript, R",Flask,Full-time Job,1+,frontend developer,
Both,Beginner,DevOps,Masters,CS,Job Seeker,"Java, R",Scikit-learn,Full-time Job,1+,ml engineer,
Logic,Intermediate,Backend,Diploma,CS,Pursuing Degree,"Java, SQL","Flask, Node, TensorFlow",Onsite,1+,ml engineer,
Both,Beginner,DevOps,Bachelors,CS,Working Professional,"C, R","React, TensorFlow",Remote,None,ml engineer,
Both,Beginner,Data Science,Diploma,Non-CS,Intern,SQL,"Django, React, Scikit-learn",Internship,None,ml engineer,
Creativity,Advanced,Full Stack,Diploma,Non-CS,Job Seeker,"JavaScript, SQL","Flask, None",Onsite,1+,frontend developer,
Logic,None,DevOps,Diploma,Non-CS,Working Professional,Java,Node,Internship,1+,backend developer,
Creativity,None,Frontend,Bachelors,CS,Trainee,"JavaScript, Python, SQL","Django, Node, React",Onsite,None,data analyst,
Both,None,Data Science,Bachelors,CS,Working Professional,Python,"Node, PyTorch, TensorFlow",Full-time Job,None,ml engineer,
Both,Beginner,Backend,Diploma,Non-CS,Working Professional,JavaScript,Django,Internship,3+,frontend developer,
Both,Beginner,Full Stack,Masters,Non-CS,Job Seeker,"C, JavaScript","Django, Flask, React",Onsite,None,frontend developer,
Logic,Advanced,Data Science,Diploma,CS,Intern,C++,Node,Remote,1+,backend developer,
Logic,Advanced,AI/ML,Diploma,CS,Working Professional,"C++, SQL","None, PyTorch",Internship,3+,ml engineer,
Both,None,AI/ML,Masters,Non-CS,Job Seeker,None,"Flask, Node, PyTorch",Onsite,1+,ml engineer,
Creativity,None,Cybersecurity,Masters,Non-CS,Trainee,"C++, Java","Django, PyTorch",Internship,3+,ml engineer,
Creativity,None,Frontend,Bachelors,Non-CS,Pursuing Degree,"None, R, SQL","Flask, React, Scikit-learn",Remote,1+,ml engineer,
Both,None,Data Science,Masters,CS,Intern,"C, Java, R","Django, Flask, TensorFlow",Internship,None,ml engineer,
Both,Advanced,DevOps,Bachelors,CS,Trainee,"C, JavaScript, SQL",Django,Remote,1+,frontend developer,
Creativity,None,DevOps,Bachelors,Non-CS,Job Seeker,"Java, R",Flask,Onsite,3+,backend developer,
Logic,Intermediate,Frontend,Masters,Non-CS,Trainee,"JavaScript, R, SQL","None, PyTorch, React",Freelance,1+,ml engineer,
Both,None,DevOps,Bachelors,Non-CS,Working Professional,Java,"Flask, None",Internship,3+,backend developer,
Both,Advanced,AI/ML,Diploma,Non-CS,Pursuing Degree,"C++, Java, R","Django, PyTorch, React",Full-time Job,None,ml engineer,
Both,Intermediate,Backend,Bachelors,Non-CS,Working Professional,"C++, Java, Python, R","Django, None, Scikit-learn",Onsite,3+,ml engineer,
Creativity,Beginner,Full Stack,Bachelors,Non-CS,Job Seeker,"C, C++","PyTorch, Scikit-learn",Remote,1+,ml engineer,
Creativity,Beginner,Backend,Masters,CS,Working Professional,"Java, None","Django, React",Internship,3+,frontend developer,
Logic,None,DevOps,Diploma,CS,Working Professional,"Java, Python, SQL","Flask, Scikit-learn, TensorFlow",Full-time Job,None,ml engineer,
Logic,Advanced,Backend,Masters,Non-CS,Trainee,"Java, JavaScript, Python",Django,Freelance,1+,data analyst,
Creativity,None,Full Stack,Diploma,CS,Trainee,"Java, Python, R, SQL","Django, None, PyTorch",Full-time Job,1+,ml engineer,
Logic,None,DevOps,Diploma,Non-CS,Job Seeker,"C, Python, R",None,Onsite,3+,data analyst,
Creativity,Beginner,AI/ML,Masters,CS,Intern,"C, Java, None",Scikit-learn,Full-time Job,3+,ml engineer,
Logic,Beginner,Data Science,Diploma,Non-CS,Trainee,"C, JavaScript, Python, R","Django, None, React",Full-time Job,3+,data analyst,
Creativity,Beginner,DevOps,Bachelors,CS,Job Seeker,C++,Scikit-learn,Onsite,3+,ml engineer,
Logic,Beginner,Full Stack,Diploma,Non-CS,Working Professional,"None, Python, R, SQL",Flask,Internship,3+,data analyst,
Creativity,Intermediate,Frontend,Masters,Non-CS,Job Seeker,"C++, None, Python, R","None, TensorFlow",Onsite,1+,ml engineer,
Both,Intermediate,Data Science,Masters,Non-CS,Pursuing Degree,"C, Python, R, SQL","None, PyTorch",Freelance,None,ml engineer,
Logic,Advanced,Data Science,Diploma,CS,Job Seeker,"C, Python, SQL",Scikit-learn,Remote,1+,ml engineer,
Logic,Beginner,Full Stack,Bachelors,Non-CS,Trainee,"C++, None, R","Flask, PyTorch, React",Full-time Job,1+,ml engineer,
Creativity,None,Data Science,Bachelors,Non-CS,Trainee,SQL,PyTorch,Full-time Job,3+,ml engineer,
Creativity,Advanced,Frontend,Masters,Non-CS,Job Seeker,"C, SQL","Node, TensorFlow",Freelance,None,ml engineer,
Both,Beginner,Backend,Diploma,CS,Working Professional,Java,"Django, React, TensorFlow",Onsite,1+,ml engineer,
Creativity,Beginner,Data Science,Diploma,CS,Pursuing Degree,"Python, SQL","Flask, Node",Remote,3+,data analyst,
Both,Beginner,Backend,Masters,CS,Pursuing Degree,"JavaScript, Python, R, SQL",React,Freelance,3+,data analyst,
Creativity,Advanced,Data Science,Diploma,Non-CS,Job Seeker,C,None,Internship,None,intern,
Both,Intermediate,Full Stack,Masters,CS,Working Professional,"C, JavaScript, Python, SQL",TensorFlow,Freelance,3+,ml engineer,
Creativity,None,Full Stack,Bachelors,Non-CS,Intern,"C++, Python, SQL",Node,Freelance,1+,data analyst,
Both,None,Data Science,Bachelors,Non-CS,Trainee,R,"Flask, None, PyTorch",Internship,3+,ml engineer,
Logic,Beginner,Cybersecurity,Diploma,Non-CS,Intern,"Java, None, Python","None, React",Onsite,1+,data analyst,
Both,None,Data Science,Masters,Non-CS,Job Seeker,Java,"Django, TensorFlow",Full-time Job,None,ml engineer,
Logic,Intermediate,DevOps,Masters,Non-CS,Intern,SQL,React,Onsite,1+,frontend developer,
Both,Beginner,DevOps,Masters,CS,Trainee,JavaScript,"Django, React, TensorFlow",Full-time Job,1+,ml engineer,
Creativity,None,Frontend,Bachelors,CS,Trainee,"C++, R","Django, Flask, TensorFlow",Freelance,None,ml engineer,
Both,Intermediate,AI/ML,Bachelors,CS,Working Professional,"None, Python, R","Django, Flask, None",Freelance,None,data analyst,
Both,Beginner,Data Science,Diploma,CS,Pursuing Degree,"C, JavaScript, None, R","Flask, TensorFlow",Onsite,1+,ml engineer,
Logic,None,Full Stack,Bachelors,Non-CS,Intern,"None, SQL","Flask, Scikit-learn, TensorFlow",Freelance,3+,ml engineer,
Logic,Beginner,Data Science,Diploma,CS,Job Seeker,"C++, Python, R, SQL","React, Scikit-learn",Freelance,3+,ml engineer,
Both,Intermediate,AI/ML,Masters,Non-CS,Job Seeker,"C, Java, Python, R",Django,Remote,None,data analyst,
Creativity,Beginner,DevOps,Diploma,CS,Pursuing Degree,Java,"React, TensorFlow",Internship,1+,ml engineer,
Logic,Intermediate,AI/ML,Diploma,Non-CS,Intern,"C, JavaScript, None, R",React,Internship,1+,frontend developer,
Both,None,Data Science,Bachelors,CS,Trainee,R,"Flask, TensorFlow",Remote,1+,ml engineer,
Logic,None,AI/ML,Masters,Non-CS,Pursuing Degree,"Java, JavaScript, R, SQL","Flask, None, Scikit-learn",Internship,None,ml engineer,
Creativity,None,Data Science,Diploma,CS,Working Professional,"Java, None","Node, PyTorch",Full-time Job,3+,ml engineer,
Creativity,Beginner,Data Science,Bachelors,Non-CS,Trainee,"C++, SQL","Django, Flask, TensorFlow",Onsite,1+,ml engineer,
Both,Beginner,Data Science,Diploma,Non-CS,Working Professional,Python,PyTorch,Internship,1+,ml engineer,
Both,Intermediate,Full Stack,Bachelors,CS,Pursuing Degree,"Java, SQL","Flask, None, Scikit-learn",Remote,3+,ml engineer,
Creativity,Intermediate,Cybersecurity,Masters,CS,Trainee,"Java, None, Python","Django, Scikit-learn",Remote,3+,ml engineer,
Logic,None,Cybersecurity,Masters,Non-CS,Trainee,R,"Django, Flask, React",Internship,None,frontend developer,
Both,Intermediate,Cybersecurity,Diploma,CS,Trainee,"Java, None, Python, R","Flask, Node, React",Onsite,None,data analyst,
Creativity,Advanced,Full Stack,Masters,Non-CS,Working Professional,"C++, None, Python",Django,Remote,None,backend developer,
Creativity,None,DevOps,Masters,Non-CS,Working Professional,"C, C++, Java, None",PyTorch,Freelance,1+,ml engineer,
Creativity,Intermediate,Data Science,Masters,CS,Pursuing Degree,C++,"Node, PyTorch",Internship,1+,ml engineer,
Logic,None,DevOps,Diploma,Non-CS,Job Seeker,"C, JavaScript, R, SQL",PyTorch,Internship,None,ml engineer,
Creativity,Beginner,Cybersecurity,Diploma,Non-CS,Working Professional,C++,"Flask, React, TensorFlow",Onsite,None,ml engineer,
Creativity,Intermediate,Cybersecurity,Diploma,CS,Job Seeker,"C++, R","PyTorch, Scikit-learn",Freelance,3+,ml engineer,
Creativity,None,DevOps,Masters,CS,Pursuing Degree,"C, C++, R",React,Freelance,None,frontend developer,
Logic,Intermediate,Data Science,Masters,CS,Working Professional,"C, None","Django, React, TensorFlow",Remote,3+,ml engineer,
Creativity,Advanced,Data Science,Bachelors,Non-CS,Intern,"C, Python, R","Django, React, Scikit-learn",Freelance,None,ml engineer,
Creativity,Beginner,AI/ML,Masters,Non-CS,Trainee,SQL,"Node, React, TensorFlow",Freelance,3+,ml engineer,
Both,Intermediate,AI/ML,Masters,Non-CS,Intern,"C++, Java, Python","Node, None, PyTorch",Freelance,None,ml engineer,
Creativity,None,DevOps,Bachelors,Non-CS,Job Seeker,"C++, None, R","Django, TensorFlow",Freelance,1+,ml engineer,
Logic,Intermediate,Data Science,Bachelors,CS,Trainee,Python,"Django, Flask, Scikit-learn",Internship,1+,ml engineer,
Logic,None,Data Science,Bachelors,Non-CS,Working Professional,"C++, Java, None, SQL","Django, None",Full-time Job,1+,backend developer,
Logic,Intermediate,DevOps,Masters,Non-CS,Working Professional,"C, Java, None, SQL","Node, Scikit-learn",Internship,1+,ml engineer,
Both,None,Data Science,Diploma,CS,Job Seeker,"C, JavaScript, None, R","Django, PyTorch, TensorFlow",Full-time Job,None,ml engineer,
Creativity,Advanced,Frontend,Bachelors,Non-CS,Working Professional,JavaScript,Node,Full-time Job,None,frontend developer,
Logic,Intermediate,Full Stack,Masters,Non-CS,Pursuing Degree,"Java, Python","PyTorch, React",Full-time Job,1+,ml engineer,
Logic,Beginner,Cybersecurity,Masters,CS,Intern,"C, Java, JavaScript, Python","Django, TensorFlow",Remote,None,ml engineer,
Logic,Intermediate,Backend,Masters,Non-CS,Intern,"C, C++, Java","Django, React",Freelance,1+,frontend developer,
Logic,Beginner,AI/ML,Masters,CS,Pursuing Degree,"JavaScript, Python, R","Flask, None, Scikit-learn",Freelance,1+,ml engineer,
Both,Advanced,Full Stack,Masters,CS,Pursuing Degree,"JavaScript, None, Python","Flask, React",Full-time Job,3+,data analyst,
Both,Intermediate,DevOps,Bachelors,CS,Job Seeker,"C++, JavaScript, Python","Django, Node, PyTorch",Full-time Job,1+,ml engineer,
Logic,Beginner,Backend,Diploma,CS,Intern,R,"Django, Node, TensorFlow",Remote,None,ml engineer,
Logic,Intermediate,DevOps,Bachelors,CS,Trainee,"C, Java, JavaScript","Node, None",Freelance,3+,frontend developer,
Logic,Intermediate,Full Stack,Masters,CS,Trainee,"C, None, SQL","Django, Flask, TensorFlow",Freelance,None,ml engineer,
Both,Advanced,Data Science,Masters,CS,Pursuing Degree,"C++, Java, R, SQL",Flask,Full-time Job,1+,backend developer,
Creativity,None,AI/ML,Diploma,Non-CS,Trainee,"C, None, Python, SQL",Node,Onsite,None,data analyst,
Both,Intermediate,Full Stack,Bachelors,CS,Working Professional,"R, SQL","Node, PyTorch",Onsite,3+,ml engineer,
Creativity,Beginner,AI/ML,Diploma,CS,Trainee,C++,"Node, PyTorch, TensorFlow",Onsite,1+,ml engineer,
Logic,Advanced,Cybersecurity,Bachelors,Non-CS,Trainee,"JavaScript, None","Django, PyTorch",Freelance,1+,ml engineer,
Both,Beginner,Data Science,Bachelors,CS,Intern,"C++, JavaScript, None, R","Django, Flask",Internship,1+,frontend developer,
Creativity,Intermediate,Cybersecurity,Diploma,CS,Intern,C,"Flask, None",Onsite,3+,backend developer,
Both,Beginner,Cybersecurity,Bachelors,CS,Intern,"C++, Java",TensorFlow,Onsite,3+,ml engineer,
Both,Beginner,Frontend,Masters,CS,Job Seeker,"None, R","PyTorch, Scikit-learn",Full-time Job,3+,ml engineer,
Both,Intermediate,DevOps,Diploma,CS,Job Seeker,"JavaScript, None, R, SQL","None, Scikit-learn, TensorFlow",Internship,1+,ml engineer,
Creativity,Advanced,Backend,Bachelors,Non-CS,Pursuing Degree,"C++, None, Python, R","React, Scikit-learn",Internship,3+,ml engineer,
Logic,Advanced,Full Stack,Bachelors,Non-CS,Pursuing Degree,"JavaScript, None",None,Full-time Job,1+,frontend developer,
Both,Advanced,AI/ML,Bachelors,CS,Trainee,"C, JavaScript, R, SQL","Flask, PyTorch, Scikit-learn",Internship,None,ml engineer,
Both,Intermediate,Data Science,Diploma,CS,Working Professional,"Java, Python",React,Remote,3+,data analyst,
Both,Advanced,Backend,Bachelors,Non-CS,Job Seeker,"C, JavaScript",None,Onsite,3+,frontend developer,
Logic,Beginner,Backend,Bachelors,Non-CS,Job Seeker,JavaScript,"Flask, None, React",Onsite,3+,frontend developer,
Logic,None,Frontend,Masters,CS,Job Seeker,"C, JavaScript, None, SQL","PyTorch, React",Full-time Job,1+,ml engineer,
Both,Intermediate,Backend,Masters,Non-CS,Pursuing Degree,Java,Scikit-learn,Remote,1+,ml engineer,
Creativity,Intermediate,Cybersecurity,Masters,CS,Intern,"Java, None, SQL","None, React",Onsite,3+,frontend developer,
